Date,Heartrate
2019-10-21 14:36:58,70
2019-10-21 14:37:00,71
2019-10-21 14:37:01,76
2019-10-21 14:37:02,69
2019-10-21 14:37:03,62
2019-10-21 14:37:05,61
2019-10-21 14:37:06,60
2019-10-21 14:37:07,66
2019-10-21 14:37:08,71
2019-10-21 14:37:09,73
2019-10-21 14:37:11,74
2019-10-21 14:37:12,72
2019-10-21 14:37:17,74
2019-10-21 14:37:18,76
2019-10-21 14:37:19,77
2019-10-21 14:37:20,78
2019-10-21 14:37:24,77
2019-10-21 14:37:25,76
2019-10-21 14:37:29,77
2019-10-21 14:37:30,78
2019-10-21 14:37:33,83
2019-10-21 14:37:34,81
2019-10-21 14:37:35,78
2019-10-21 14:37:36,77
2019-10-21 14:37:38,78
2019-10-21 14:37:39,80
2019-10-21 14:37:42,79
2019-10-21 14:37:44,77
2019-10-21 14:37:45,76
2019-10-21 14:37:46,74
2019-10-21 14:37:47,73
2019-10-21 14:37:50,74
2019-10-21 14:37:51,73
2019-10-21 14:37:52,74
2019-10-21 14:37:53,73
2019-10-21 14:37:58,74
2019-10-21 14:38:01,75
2019-10-21 14:38:05,74
2019-10-21 14:38:06,73
2019-10-21 14:38:08,79
2019-10-21 14:38:09,78
2019-10-21 14:38:11,71
2019-10-21 14:38:12,72
2019-10-21 14:38:13,77
2019-10-21 14:38:14,81
2019-10-21 14:38:16,82
2019-10-21 14:38:17,83
2019-10-21 14:38:18,76
2019-10-21 14:38:19,77
2019-10-21 14:38:21,78
2019-10-21 14:38:23,77
2019-10-21 14:38:24,76
2019-10-21 14:38:27,74
2019-10-21 14:38:28,73
2019-10-21 14:38:33,73
2019-10-21 14:38:38,73
2019-10-21 14:38:41,74
2019-10-21 14:38:42,75
2019-10-21 14:38:44,74
2019-10-21 14:38:45,73
2019-10-21 14:38:46,71
2019-10-21 14:38:47,70
2019-10-21 14:38:52,70
2019-10-21 14:38:53,71
2019-10-21 14:38:55,72
2019-10-21 14:39:00,72
2019-10-21 14:39:05,72
2019-10-21 14:39:07,74
2019-10-21 14:39:10,76
2019-10-21 14:39:11,79
2019-10-21 14:39:12,80
2019-10-21 14:39:13,81
2019-10-21 14:39:14,80
2019-10-21 14:39:16,79
2019-10-21 14:39:18,80
2019-10-21 14:39:19,81
2019-10-21 14:39:22,80
2019-10-21 14:39:23,79
2019-10-21 14:39:24,76
2019-10-21 14:39:27,74
2019-10-21 14:39:28,72
2019-10-21 14:39:29,69
2019-10-21 14:39:30,65
2019-10-21 14:39:31,72
2019-10-21 14:39:33,77
2019-10-21 14:39:34,79
2019-10-21 14:39:35,80
2019-10-21 14:39:36,76
2019-10-21 14:39:38,70
2019-10-21 14:39:39,71
2019-10-21 14:39:40,76
2019-10-21 14:39:41,73
2019-10-21 14:39:42,71
2019-10-21 14:39:44,69
2019-10-21 14:39:45,68
2019-10-21 14:39:46,72
2019-10-21 14:39:47,69
2019-10-21 14:39:49,75
2019-10-21 14:39:50,78
2019-10-21 14:39:51,80
2019-10-21 14:39:52,76
2019-10-21 14:39:55,77
2019-10-21 14:39:56,76
2019-10-21 14:39:57,77
2019-10-21 14:39:58,78
2019-10-21 14:40:05,77
2019-10-21 14:40:06,75
2019-10-21 14:40:07,74
2019-10-21 14:40:08,73
2019-10-21 14:40:13,73
2019-10-21 14:40:14,74
2019-10-21 14:40:16,75
2019-10-21 14:40:20,75
2019-10-21 14:40:27,75
2019-10-21 14:40:28,74
2019-10-21 14:40:29,73
2019-10-21 14:40:34,74
2019-10-21 14:40:35,73
2019-10-21 14:40:38,74
2019-10-21 14:40:39,75
2019-10-21 14:40:44,75
2019-10-21 14:40:46,74
2019-10-21 14:40:47,73
2019-10-21 14:40:50,74
2019-10-21 14:40:52,75
2019-10-21 14:40:56,74
2019-10-21 14:40:57,73
2019-10-21 14:40:58,71
2019-10-21 14:41:00,70
2019-10-21 14:41:01,71
2019-10-21 14:41:02,70
2019-10-21 14:41:03,76
2019-10-21 14:41:05,79
2019-10-21 14:41:06,74
2019-10-21 14:41:07,76
2019-10-21 14:41:09,78
2019-10-21 14:41:11,81
2019-10-21 14:41:13,80
2019-10-21 14:41:14,78
2019-10-21 14:41:16,77
2019-10-21 14:41:17,76
2019-10-21 14:41:22,76
2019-10-21 14:41:27,77
2019-10-21 14:41:28,78
2019-10-21 14:41:33,78
2019-10-21 14:41:34,77
2019-10-21 14:41:35,76
2019-10-21 14:41:36,74
2019-10-21 14:41:38,73
2019-10-21 14:41:41,72
2019-10-21 14:41:43,71
2019-10-21 14:41:44,69
2019-10-21 14:41:46,66
2019-10-21 14:41:47,65
2019-10-21 14:41:49,66
2019-10-21 14:41:51,68
2019-10-21 14:41:54,69
2019-10-21 14:41:58,69
2019-10-21 14:42:00,71
2019-10-21 14:42:01,72
2019-10-21 14:42:06,72
2019-10-21 14:42:11,72
2019-10-21 14:42:14,74
2019-10-21 14:42:16,75
2019-10-21 14:42:17,74
2019-10-21 14:42:18,75
2019-10-21 14:42:19,77
2019-10-21 14:42:21,76
2019-10-21 14:42:25,76
2019-10-21 14:42:27,74
2019-10-21 14:42:28,75
2019-10-21 14:42:29,74
2019-10-21 14:42:30,73
2019-10-21 14:42:34,74
2019-10-21 14:42:35,73
2019-10-21 14:42:36,67
2019-10-21 14:42:38,68
2019-10-21 14:42:39,75
2019-10-21 14:42:40,81
2019-10-21 14:42:41,82
2019-10-21 14:42:43,83
2019-10-21 14:42:44,90
2019-10-21 14:42:45,83
2019-10-21 14:42:46,84
2019-10-21 14:42:47,86
2019-10-21 14:42:50,87
2019-10-21 14:42:54,86
2019-10-21 14:42:55,79
2019-10-21 14:42:56,76
2019-10-21 14:42:57,77
2019-10-21 14:42:59,73
2019-10-21 14:43:00,77
2019-10-21 14:43:01,79
2019-10-21 14:43:02,80
2019-10-21 14:43:03,81
2019-10-21 14:43:05,80
2019-10-21 14:43:06,78
2019-10-21 14:43:07,77
2019-10-21 14:43:08,75
2019-10-21 14:43:10,74
2019-10-21 14:43:11,73
2019-10-21 14:43:13,74
2019-10-21 14:43:14,75
2019-10-21 14:43:16,74
